# name	sentences	forms	annotator	sent	done	comment
wsj0001	2	30	toh	220325	220328	
wsj0002	1	21	toh	220429	220430	
wsj0003	30	696	kac	220719	220719	learn
wsj0004	17	378	tem	220616	220701	
wsj0005	3	67	toh	220805	220813	
wsj0006	2	50	toh	220511	220511	
wsj0007	4	75	toh	220628	220719	
wsj0008	6	106	toh	220404	220415	
wsj0009	4	71	toh	220628	220719	
wsj0010	20	423	kac	220618	220619	
wsj0011	8	186	toh	220602	220602	
wsj0012	16	442	kac	211215	211218	
wsj0013	18	497	kac	211202	211202	
wsj0014	2	76	kac	220406	220411	
wsj0015	24	553	kac	220614	220615	
wsj0016	6	113	kac	220907	220908	
wsj0017	3	71	kac	220516	220519	
wsj0018	37	904	kac	220901	220907	
wsj0019	9	121	kac	220108	220109	
wsj0020	21	610	toh	220429	220430	
wsj0021	8	170				
wsj0022	17	354				
wsj0023	4	98				
wsj0024	8	174				
wsj0025	3	77	kac	220614	220615	
wsj0026	8	231	toh	220109	220110	
wsj0027	13	266	toh	220429	220430	
wsj0028	1	20	kac	211006	211008	
wsj0029	13	306				
wsj0030	1	25	toh	220216	220223	
wsj0031	2	71	toh	220216	220223	
wsj0032	4	86	les	220913	220913	
wsj0033	4	87	kac	220209	220209	
wsj0034	39	783				
wsj0035	11	267	toh	220314	220327	
wsj0036	65	1230	kac	220406	220410	
wsj0037	71	1785				
wsj0038	6	137				
wsj0039	43	910	kac	211202	211202	
wsj0040	5	133				
wsj0041	70	1489	kac	220319	220331	
wsj0042	3	67	toh	220901		
wsj0043	44	964	kac	220901	220907	
wsj0044	135	2882				
wsj0045	38	1038	tem	220728	220730	
wsj0046	4	84	toh	220505	220506	
wsj0047	25	670	kac	220901	220904	
wsj0048	42	1096	toh	220109	220118	
wsj0049	76	1812				
wsj0050	3	68	tem	220820		
wsj0051	34	808				
wsj0052	7	107	kac	220530	220609	
wsj0053	2	60	lec	220319	220331	
wsj0054	4	87	kac	220907	220908	
wsj0055	1	30	kac	220216	220218	
wsj0056	5	49	kac	220907	220908	
wsj0057	18	412	kac	220418	220425	
wsj0058	2	49	toh	220505	220506	
wsj0059	24	687	kac	211215	211219	
wsj0060	20	529	kac	220704	220715	
wsj0061	3	55	kac	220225	220227	
wsj0062	52	1076				
wsj0063	19	527	jah	211019	211101	
wsj0064	25	624	toh	220519	220609	
wsj0065	3	70	toh	220628	220719	
wsj0066	2	55	kac	220307	220308	
wsj0067	12	354	kac	220901	220907	
wsj0068	5	101	toh	220515	220516	
wsj0069	2	47	les	220913	220913	
wsj0070	4	142	kac	220418	220502	
wsj0071	57	1479	les	220826	220908	
wsj0072	19	470				
wsj0073	6	148	kac	220131	220201	
wsj0074	5	91	kac	220418	220502	
wsj0075	19	480				
wsj0076	3	49	toh	220628	220719	
wsj0077	20	303				
wsj0078	2	63	toh	220511	220511	
wsj0079	4	63	kac	220511	220512	
wsj0080	27	677	kac	220712	220714	
wsj0081	5	163				
wsj0082	38	875	kac	220530	220612	
wsj0083	45	1039	kac	220712	220714	
wsj0084	6	115	toh	220325	220328	
wsj0085	54	1195	kac	220506	220508	
wsj0086	4	91	luj	220906		
wsj0087	22	351	kac	220516	220519	
wsj0088	32	976	toh	220203	220214	
wsj0089	65	1532				
wsj0090	52	1268				
