missing layer id in ptree.rf	EnglishA-wsj_0001-s1
missing layer id in ptree.rf	EnglishA-wsj_0001-s2
missing layer id in ptree.rf	EnglishA-wsj_0002-s1
ord-error ord	EnglishA-wsj_0003-s1-t40	40>39
ord-error ord	EnglishA-wsj_0003-s2-t34	34>33
ord-error ord	EnglishA-wsj_0003-s11-t6	6>5
ord-error ord	EnglishA-wsj_0003-s12-t21	21>20
ord-error ord	EnglishA-wsj_0003-s15-t26	26>25
ord-error ord	EnglishA-wsj_0003-s17-t39	39>38
ord-error ord	EnglishA-wsj_0003-s19-t45	45>44
ord-error ord	EnglishA-wsj_0003-s21-t21	21>20
missing layer id in ptree.rf	EnglishA-wsj_0003-s1
missing layer id in ptree.rf	EnglishA-wsj_0003-s2
missing layer id in ptree.rf	EnglishA-wsj_0003-s3
missing layer id in ptree.rf	EnglishA-wsj_0003-s4
missing layer id in ptree.rf	EnglishA-wsj_0003-s5
missing layer id in ptree.rf	EnglishA-wsj_0003-s6
missing layer id in ptree.rf	EnglishA-wsj_0003-s7
missing layer id in ptree.rf	EnglishA-wsj_0003-s8
missing layer id in ptree.rf	EnglishA-wsj_0003-s9
missing layer id in ptree.rf	EnglishA-wsj_0003-s10
missing layer id in ptree.rf	EnglishA-wsj_0003-s11
missing layer id in ptree.rf	EnglishA-wsj_0003-s12
missing layer id in ptree.rf	EnglishA-wsj_0003-s13
missing layer id in ptree.rf	EnglishA-wsj_0003-s14
missing layer id in ptree.rf	EnglishA-wsj_0003-s15
missing layer id in ptree.rf	EnglishA-wsj_0003-s16
missing layer id in ptree.rf	EnglishA-wsj_0003-s17
missing layer id in ptree.rf	EnglishA-wsj_0003-s18
missing layer id in ptree.rf	EnglishA-wsj_0003-s19
missing layer id in ptree.rf	EnglishA-wsj_0003-s20
missing layer id in ptree.rf	EnglishA-wsj_0003-s21
missing layer id in ptree.rf	EnglishA-wsj_0003-s22
missing layer id in ptree.rf	EnglishA-wsj_0003-s23
missing layer id in ptree.rf	EnglishA-wsj_0003-s24
missing layer id in ptree.rf	EnglishA-wsj_0003-s25
missing layer id in ptree.rf	EnglishA-wsj_0003-s26
missing layer id in ptree.rf	EnglishA-wsj_0003-s27
missing layer id in ptree.rf	EnglishA-wsj_0003-s28
